datetime,open,high,low,close,volume
2023-03-30 00:00:00,132.841,132.841,132.452,132.639,30233
2023-03-30 04:00:00,132.64,132.804,132.531,132.563,30953
2023-03-30 08:00:00,132.563,132.629,132.197,132.529,56253
2023-03-30 12:00:00,132.528,132.883,132.396,132.76,49076
2023-03-30 16:00:00,132.761,132.959,132.355,132.378,44722
2023-03-30 20:00:00,132.378,132.72,132.311,132.652,25500
2023-03-31 00:00:00,132.652,133.503,132.562,133.232,32351
2023-03-31 04:00:00,133.233,133.282,132.676,132.743,33576
2023-03-31 08:00:00,132.744,133.589,132.741,133.481,49937
2023-03-31 12:00:00,133.481,133.481,132.741,133.075,52485
2023-03-31 16:00:00,133.072,133.306,132.708,132.758,53497
2023-03-31 20:00:00,132.755,132.955,132.612,132.805,22666
2023-04-03 00:00:00,133.374,133.377,132.913,133.028,40345
2023-04-03 04:00:00,133.025,133.487,132.81,133.463,37083
2023-04-03 08:00:00,133.463,133.749,133.328,133.434,48896
2023-04-03 12:00:00,133.432,133.527,132.837,133.093,45631
2023-04-03 16:00:00,133.092,133.134,132.194,132.447,50466
2023-04-03 20:00:00,132.448,132.566,132.27,132.392,23050
2023-04-04 00:00:00,132.392,132.597,132.162,132.551,25688
2023-04-04 04:00:00,132.549,132.935,132.538,132.737,28683
2023-04-04 08:00:00,132.737,132.974,132.498,132.896,42984
2023-04-04 12:00:00,132.894,133.161,132.775,132.896,41735
2023-04-04 16:00:00,132.896,132.947,131.514,131.614,60233
2023-04-04 20:00:00,131.615,131.765,131.575,131.688,21534
2023-04-05 00:00:00,131.686,131.722,131.293,131.55,22790
2023-04-05 04:00:00,131.543,131.836,131.376,131.691,32261
2023-04-05 08:00:00,131.69,131.731,131.227,131.457,47509
2023-04-05 12:00:00,131.457,131.773,130.907,131.011,48824
2023-04-05 16:00:00,131.013,131.233,130.617,131.176,54859
2023-04-05 20:00:00,131.177,131.405,131.076,131.303,22993
